t,y0,y1
0.0,2,0
50.0,1.9661870355455861592020028183469549,-0.00068606458320719977423546298567202939
100.0,1.9313560732179932966090518675628118,-0.00070742095821795067823317681998673834
150.0,1.895400709941649219913983870355878,-0.00073109668312059674592090496858531878
200.0,1.8581938488291962485732256027404219,-0.00075755437295251838725196336099543259
250.0,1.8195819101453725163963781596976332,-0.00078739813032347632029694928235130646
300.0,1.7793763316294459730926291740615852,-0.00082143473582936294558054513004208275
350.0,1.7373411896893489192450488189933822,-0.00086077070150727117738009841474422501
400.0,1.6931745254475816242489827345707454,-0.00090697303644948963109728712339574486
450.0,1.6464789480057140380608871055301279,-0.00096234995375173691418285715215574783
500.0,1.5967128517333839532454931031679735,-0.0010304741167751767412508190346898118
550.0,1.5431038430124102145413189646205865,-0.0011172429574462625252728731339857404
600.0,1.4844808555932942351063275054912083,-0.0012332795460911153556660124763766362
650.0,1.4189057965783336001663883507717401,-0.0014002867550790645302660752946621869
700.0,1.3426994565252361457652341414359398,-0.0016724243079823785784049361424763447
750.0,1.2468616141300521427126568596577272,-0.0022479253206899299163956662539476383
800.0,1.08215962956475597600558558042394,-0.0063231632942135169647701609108025878
850.0,1.2836384276096057810434558632550761,-0.0019817372576995820679379711748424597
900.0,1.1590567079695162089336690769414417,-0.0033749213401325799978336394957523225
950.0,1.0909784957204526900653718257672153,-0.0057331332447852559330847554974752711
1000.0,1.044154967287995727787119903950952,-0.011537859111943913476006073892676795
1050.0,1.1500767139506653524705370728042908,-0.0035639344242768015644240442441059713
1100.0,-1.1122008434551027278303081402555108,0.0046922344825312302385444951369208866
1150.0,-1.2000400636611332494396719994256273,0.0027266901108510552612096411451148015
1200.0,-1.0468771708004063203389932823483832,0.010886232871739518271447799691031832
1250.0,9.8684350300476619821665735798887908,-0.0001023845165379691773011733291198766
1300.0,9.8633144413695656993468219297938049,-0.00010243877376744905049413963959992202
1350.0,9.8581911376469797403387929080054164,-0.00010249311792180233727199423210407758
1400.0,9.8530651145277996505456030718050897,-0.00010254754923426778604519243875969892
1450.0,9.8479363676482449818649911321699619,-0.00010260206793896358226387405254698137
1500.0,9.8428048926328024492704571457579732,-0.00010265667427089154970128170862864181
1550.0,9.8376706850941868509607957093976438,-0.00010271136846594150081497798243646002
1600.0,9.8325337406332966594391109538264573,-0.00010276615076089554645048101955140396
1650.0,9.827394054839171388948670937679708,-0.00010282102139343245975500878985897657
1700.0,9.8222516232889365284108862397260964,-0.0001028759806021320400912233417045627
1750.0,9.8171064415477751197158795548602939,-0.00010293102862647950405602936818638682
1800.0,9.8119585051688655852331066853366792,-0.00010298616570686997136706286593010873
1850.0,9.8068078096933479770314079360105097,-0.00010304139208461286943401685745058671
1900.0,9.8016543506502724625306655070744455,-0.00010309670800193643279765720599527867
1950.0,9.7964981235565549155808184877969325,-0.00010315211370199222967389274252525411
2000.0,9.7913391239169307311840384500101209,-0.00010320760942885968849784539269620609
